Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Ghana,GHA,66.6,-0.254053384065628,5011.07931572904,15.7729775518848,89.8,79.3,45.832947241726,54.167052758274,129.017939702909
Gibraltar,GIB,100,..,..,2.80373831775701,100,100,0,100,3365.8
Greece,GRC,100,0.124417319893837,27504.5497984948,7.26881957456189,100,100,22.2877011233652,77.7122988766348,83.5994647013189
Greenland,GRL,100,0.814577758312225,58908.5907729314,..,100,100,13.7738952636719,86.2261047363281,0.136888780606651
Grenada,GRD,..,-0.119182765483856,13977.5055879135,..,..,91.8,64.0293985818117,35.9706014181883,338.617647058824
Guam,GUM,100,0.217992216348648,..,..,100,100,5.920532743593,94.079467256407,304.135185185185
Guatemala,GTM,86.8,-0.654102444648743,9201.42836046353,11.5109647361234,96.7,91.8,46.3390767142957,53.6609232857043,151.817469204927
Guinea,GIN,6.7,-1.0659271478653,2255.32617992615,..,82.2,33.5,64.6899719238281,35.3100280761719,49.1332817841446
Guinea-Bissau,GNB,10.5,-1.70729947090149,1824.3730977071,..,39.7,22.9,57.413890838623,42.586109161377,65.1455547652916
Guyana,GUY,86.7,-0.283567517995834,11516.3798289577,..,95.3,89,73.5919107117101,26.4080892882899,3.8788315976632
Haiti,HTI,..,-2.17236351966858,3253.47178641614,14.9171270718232,76.4,40.4,49.912178851744,50.087821148256,387.208164005806
Honduras,HND,82.1,-0.763441383838654,5186.15897417161,32.6257103034202,99.1,91.6,45.1131585421143,54.8868414578857,84.121726695862
"Hong Kong SAR, China",HKG,100,1.80385911464691,56761.4824132224,4.66143790849673,100,100,0,100,6987.2380952381
Hungary,HUN,100,0.457127034664154,28178.9450366919,11.1779825716256,100,100,29.5266189575195,70.4733810424805,106.944499232961
Iceland,ISL,100,1.34993553161621,53480.3971946764,2.63611859838275,100,100,6.2177352905274,93.7822647094726,3.34602493765586
India,IND,85.3,0.0613894164562225,5800.48149366552,17.3912982792107,98.2,89.6,67.1349219027177,32.8650780972823,452.020992940243
Indonesia,IDN,95.1,-0.0507822521030903,10262.5951651871,8.65914117916254,99.8,97.6,46.187442779541,53.812557220459,140.945267664402
"Iran, Islamic Rep.",IRN,99.8,-0.237505525350571,15194.7855803519,11.5924232256636,100,100,26.1203899903405,73.8796100096595,51.4576905130283
Iraq,IRQ,98.8,-1.23010790348053,9079.13531769496,58.1837910024205,100,99.7,30.0876221740357,69.9123778259643,88.6135586739395
Ireland,IRL,100,1.32955777645111,73012.8198720374,6.97089471793029,100,100,37.2770600876266,62.7229399123734,69.1351720133546
Isle of Man,IMN,100,..,..,..,100,100,47.8668467830525,52.1331532169475,146.431578947368
Israel,ISR,100,1.30955588817596,38189.1610278241,3.78499440089586,100,100,8.3105376353368,91.6894623646632,394.916820702403
Italy,ITA,100,0.544244647026062,40482.562999856,6.47175144167555,100,100,30.4030767474714,69.5969232525286,203.285640373599
Jamaica,JAM,93,0.473698228597641,9948.0414677444,26.5203475080018,99.5,96.6,44.450740722385,55.549259277615,259.456602031394
Japan,JPN,100,1.78482556343079,40596.9686628995,4.25930578919986,100,100,8.54587451478579,91.4541254852142,348.631001371742
Jordan,JOR,99.5,0.11637906730175,8747.87860930851,10.4465466381853,100,100,9.43727205293,90.56272794707,112.70969813021
Kazakhstan,KAZ,100,-0.142129123210907,23023.0872293899,5.640332442736,100,100,43.2523734998333,56.7476265001667,6.80208912101345
Kenya,KEN,42.1,-0.402430564165115,3916.65315673095,19.1539136368067,84.3,53.1,68.3497479894353,31.6502520105647,84.0057771361452
Kiribati,KIR,..,-0.299970179796219,2462.83260410374,..,88.8,92.6,48.2289446997679,51.7710553002321,146.269135802469
"Korea, Dem. People's Rep.",PRK,..,-1.66307282447815,..,15.8055219080239,..,42.1,38.4318648571197,61.5681351428803,213.423519641226
"Korea, Rep.",KOR,100,1.02125263214111,41672.6278317077,3.28786139512534,100,100,18.4440758202943,81.5559241797057,525.370072521002
Kosovo,XKX,..,-0.438443809747696,9157.04630742908,..,..,..,59.2216251682198,40.7783748317802,..
Kuwait,KWT,100,-0.204460740089417,41862.1739255505,8.83498608832132,100,100,0,100,224.696745230079
Kyrgyz Republic,KGZ,99.8,-0.965182244777679,4603.75964247878,20.0196048861409,99.5,99.7,64.9484252769373,35.0515747230627,32.1967570385819
Lao PDR,LAO,84.1,-0.432250291109085,6743.01053953037,5.36402944957345,98.7,89,66.1732544466526,33.8267455533474,29.934150779896
