Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
St. Lucia,LCA,100,0.0989751070737839,15306.7258058706,..,96,99.8,79.1835119999449,20.8164880000551,287.944262295082
St. Martin (French part),MAF,100,..,..,..,100,100,0,100,743.5
St. Vincent and the Grenadines,VCT,100,0.377365678548813,13493.4773120997,..,96.8,99.7,53.1883410488729,46.8116589511271,272.689743589744
Sudan,SDN,35.8,-1.55974757671356,4470.35498046875,20.9993762561508,78.9,50.5,65.8118041158787,34.1881958841213,22.0877366167024
Suriname,SUR,90.4,-0.372116714715958,14475.3069644921,11.6102978293791,98.6,95.8,33.8573533019531,66.1426466980469,3.66186375836012
Sweden,SWE,100,1.66307485103607,50289.7687144136,5.49259662842126,100,100,13,87,24.362449750883
Switzerland,CHE,100,1.97178089618683,67350.7518747757,7.06212006079027,100,100,23.3273324226229,76.6726675773771,211.931572125581
Syrian Arab Republic,SYR,78.4,-1.85192203521729,..,21.3123359580052,100,89.8,24.84599036602,75.15400963398,104.524500353973
Tajikistan,TJK,99.2,-1.0909241437912,2913.85679547445,15.9354688950789,99.3,99.3,73.6281490325928,26.3718509674072,63.8780243533396
Tanzania,TZA,17.3,-0.606901288032532,2434.69995117188,17.9347826086957,65.3,32.8,68.2422696757084,31.7577303242916,60.7631666290359
Thailand,THA,99.9,0.22570513188839,16671.2506902144,6.56760197914484,99.9,99.9,52.1198904448753,47.8801095551247,138.698821664155
Timor-Leste,TLS,67.2,-1.03911125659943,3390.76224054133,..,98.4,76.5,70.5537092371829,29.4462907628171,82.6033624747814
Togo,TGO,21,-1.11861634254456,1932.92614273869,44.4444444444444,84.4,46.8,59.8514121720261,40.1485878279739,144.480400808972
Tonga,TON,96.5,-0.325753211975098,5920.1576147281,..,98.6,97,76.8722961494079,23.1277038505921,146.561111111111
Trinidad and Tobago,TTO,100,0.247078120708466,28231.6820670092,2.68606009130481,100,100,46.0722476915049,53.9277523084951,263.917153996101
Tunisia,TUN,100,-0.206498697400093,10993.6638464522,15.4156985554096,100,100,31.9376643471752,68.0623356528248,74.2061920700309
Turkiye,TUR,100,-0.00650703674182296,26730.7599731835,12.9773913296988,100,100,11.8979041418224,88.1020958581776,103.007889505347
Turkmenistan,TKM,100,-0.912186086177826,12919.371222426,12.8298222653776,100,100,52.9772974750006,47.0227025249994,13.5340178324431
Turks and Caicos Islands,TCA,100,..,29780.5785774422,..,100,100,7.8533095515448,92.1466904484552,40.3315789473684
Tuvalu,TUV,93.8,-0.923577785491943,4030.86241535456,..,99.6,97.3,40.5255231651715,59.4744768348285,364.333333333333
Uganda,UGA,17.7,-0.632310152053833,2165.29759404413,19.800942902043,57.5,26.7,74.3046432865902,25.6953567134098,193.49267903451
Ukraine,UKR,100,-0.609457552433014,10864.6572265625,10.1025077017494,100,100,30.7897758390911,69.2102241609089,78.7461064406429
United Arab Emirates,ARE,100,1.4101870059967,69986.9835675887,6.00788501153434,100,100,15.4906008330016,84.5093991669984,125.8109687412
United Kingdom,GBR,100,1.57377743721008,44085.2025586772,7.80735724070856,100,100,17.9770008301705,82.0229991698295,271.18174678626
United States,USA,100,1.44050490856171,57976.628204291,5.43278425594592,100,100,19.5023354675869,80.4976645324131,35.4584505795077
Uruguay,URY,100,0.504967212677002,22840.5507069805,11.5833453392883,99.8,99.7,4.8414575044315,95.1585424955685,19.3079819449206
Uzbekistan,UZB,99.9,-0.661517918109894,6919.29475621804,15.5014731679071,100,99.9,49.3427810668945,50.6572189331055,71.0059170523229
Vanuatu,VUT,46.6,-0.958185076713562,3029.80923948413,..,91.4,57.8,75.1345124357127,24.8654875642873,22.3205086136177
"Venezuela, RB",VEN,94.9,-1.27398240566254,..,31.0589084983055,100,99.4,11.0085571621288,88.9914428378712,34.8797913950456
Viet Nam,VNM,98.8,-0.0174771249294281,8374.50684516118,7.56285291558841,100,99.2,67.1523810714864,32.8476189285136,299.948999160782
Virgin Islands (U.S.),VIR,100,1.27626776695251,33470.5904765526,..,100,100,5.00589061251711,94.9941093874829,307.188571428571
West Bank and Gaza,PSE,100,-0.668761432170868,6062.23274844577,..,100,100,14.6622609293649,85.3377390706351,725.429900332226
"Yemen, Rep.",YEM,55.6,-1.90716934204102,..,24.260108378491,93,68.9,67.0487991994764,32.9512008005236,60.8159743924844
Zambia,ZMB,9.9,-0.737501263618469,3313.35121570029,16.6950161592107,69.9,35.4,57.6557523110838,42.3442476889162,22.7530946071376
Zimbabwe,ZWE,21.9,-1.25887811183929,4275.4493505094,22.4261661606404,85.5,42.5,65.9200539273686,34.0799460726314,37.7414863642239
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,
